Timestamp,NodeID,Event,Details
9.100000,0,Sent Packet,"Packet: 5, Message: Temp: 25.0 C, Hum: 63%, Send Result: 22, Length: 22"
9.100000,5,Sent Packet,"Packet: 6, Message: Temp: 23.4 C, Hum: 54%, Send Result: 22, Length: 22"
9.104832,10,Received Packet,"Size: 22"
9.104832,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
9.108832,5,Received Packet,"Size: 3"
9.200000,2,Sent Packet,"Packet: 5, Message: Temp: 21.4 C, Hum: 67%, Send Result: 22, Length: 22"
9.203232,10,Received Packet,"Size: 22"
9.203232,10,Gateway Response,"To: 2001:db8::ff:fe00:2"
9.207552,2,Received Packet,"Size: 3"
9.300000,6,Sent Packet,"Packet: 5, Message: Temp: 24.3 C, Hum: 71%, Send Result: 22, Length: 22"
9.300000,9,Sent Packet,"Packet: 6, Message: Temp: 26.5 C, Hum: 59%, Send Result: 22, Length: 22"
9.304832,10,Received Packet,"Size: 22"
9.304832,10,Gateway Response,"To: 2001:db8::ff:fe00:6"
9.318016,10,Received Packet,"Size: 22"
9.318016,10,Gateway Response,"To: 2001:db8::ff:fe00:9"
9.322336,6,Received Packet,"Size: 3"
9.328064,9,Received Packet,"Size: 3"
9.400000,7,Sent Packet,"Packet: 5, Message: Temp: 23.2 C, Hum: 61%, Send Result: 22, Length: 22"
9.403552,10,Received Packet,"Size: 22"
9.403552,10,Gateway Response,"To: 2001:db8::ff:fe00:7"
9.407552,7,Received Packet,"Size: 3"
9.500000,8,Sent Packet,"Packet: 6, Message: Temp: 22.8 C, Hum: 55%, Send Result: 22, Length: 22"
9.503232,10,Received Packet,"Size: 22"
9.503232,10,Gateway Response,"To: 2001:db8::ff:fe00:8"
9.508192,8,Received Packet,"Size: 3"
9.600000,0,Sent Packet,"Packet: 6, Message: Temp: 27.4 C, Hum: 51%, Send Result: 22, Length: 22"
9.900000,1,Sent Packet,"Packet: 5, Message: Temp: 29.5 C, Hum: 79%, Send Result: 22, Length: 22"
9.903232,10,Received Packet,"Size: 22"
9.903232,10,Gateway Response,"To: 2001:db8::ff:fe00:1"
9.907552,1,Received Packet,"Size: 3"
10.000000,5,Sent Packet,"Packet: 7, Message: Temp: 23.5 C, Hum: 63%, Send Result: 22, Length: 22"
10.004512,10,Received Packet,"Size: 22"
10.004512,10,Gateway Response,"To: 2001:db8::ff:fe00:5"
10.007552,5,Received Packet,"Size: 3"
10.200000,3,Sent Packet,"Packet: 5, Message: Temp: 22.8 C, Hum: 53%, Send Result: 22, Length: 22"
10.204832,10,Received Packet,"Size: 22"
10.204832,10,Gateway Response,"To: 2001:db8::ff:fe00:3"
10.208192,3,Received Packet,"Size: 3"
10.400000,4,Sent Packet,"Packet: 7, Message: Temp: 22.8 C, Hum: 59%, Send Result: 22, Length: 22"
10.404832,10,Received Packet,"Size: 22"
10.404832,10,Gateway Response,"To: 2001:db8::ff:fe00:4"
